customer_id,last_order_date,frequency,monetary,recency_days,r_score,f_score,m_score,rfm_combined_score,segment
C02735,2024-12-30,46,5664708.41,1,5,5,5,555,Champions
C01155,2024-12-30,7,458473.87,1,5,4,4,544,Champions
C02753,2024-12-30,30,2086795.60,1,5,5,5,555,Champions
C01149,2024-12-30,1,407918.38,1,5,1,4,514,New Customers
C03458,2024-12-07,59,3959495.00,24,5,5,5,555,Champions
C04903,2024-12-30,59,6753793.16,1,5,5,5,555,Champions
C02762,2024-12-30,39,6114322.94,1,5,5,5,555,Champions
C01114,2024-12-30,59,6205251.26,1,5,5,5,555,Champions
C04310,2024-10-12,4,58311.02,80,4,4,2,442,Others
C04027,2024-12-30,40,6493670.62,1,5,5,5,555,Champions
C02565,2024-12-30,59,4860630.91,1,5,5,5,555,Champions
C02679,2024-12-30,59,6815800.53,1,5,5,5,555,Champions
C02993,2024-10-03,1,977823.19,89,3,1,4,314,Others
C01550,2024-09-04,4,49626.65,118,3,4,2,342,Others
C02522,2024-12-30,59,10070066.52,1,5,5,5,555,Champions
C01464,2024-05-21,3,26406.90,224,3,4,2,342,Others
C03452,2024-12-30,59,4950541.90,1,5,5,5,555,Champions
C00979,2024-12-30,44,6615727.00,1,5,5,5,555,Champions
C02501,2024-12-30,59,4288554.66,1,5,5,5,555,Champions
C00405,2023-06-21,2,189590.52,559,1,3,3,133,At Risk
C03412,2024-12-30,59,7166521.28,1,5,5,5,555,Champions
C04188,2024-12-30,1,238547.56,1,5,1,3,513,Potential Loyalists
C01400,2024-12-30,59,3825304.56,1,5,5,5,555,Champions
C00010,2024-12-30,59,2967439.20,1,5,5,5,555,Champions
C02484,2024-12-30,27,4915349.64,1,5,5,5,555,Champions
C02475,2024-12-30,59,6964532.23,1,5,5,5,555,Champions
C01852,2024-12-30,3,380784.28,1,5,4,4,544,Champions
C04801,2024-12-30,55,7511583.63,1,5,5,5,555,Champions
C02663,2024-12-30,59,6778372.96,1,5,5,5,555,Champions
C03331,2024-12-30,1,19475.22,1,5,2,2,522,Potential Loyalists
